ra,declination,redshift
213.261,0.146378,0.054663
213.389,0.185802,0.123101
213.416,-0.003801,0.187851
213.461,0.261048,0.127478
213.393,-0.028392,0.125374
213.343,0.141787,0.125513
213.497,1.14458,0.138183
213.366,0.915337,0.123051
213.336,1.17709,0.387414
213.44,1.18034,0.054473
213.311,0.91774,0.233504
213.534,1.09866,0.179505
213.486,0.896417,0.053083
213.297,0.844618,0.163796
213.384,1.19642,0.298264
213.514,0.755562,0.478302
213.431,1.13256,0.17968
213.265,0.981099,0.053544
213.37,1.17031,0.048139
213.247,0.921184,0.052904
213.675,0.186399,0.12368
213.661,0.477508,0.123695
213.65,0.210057,0.123242
213.609,-0.041232,0.139696
213.491,0.458592,0.144137
213.541,-0.101697,0.140897
213.669,0.396204,0.054295
213.653,0.263346,0.121876
213.574,0.226841,0.192206
213.523,-0.065624,0.124955
213.604,0.133084,0.179378
213.496,0.134144,0.126681
213.582,-0.112144,0.12363
213.501,0.39317,0.189166
213.648,0.55352,0.180912
213.547,-0.042093,0.180079
213.623,0.016047,0.135169
213.65,0.020726,0.103899
213.675,0.141173,0.123274
213.552,1.07551,0.077606
213.798,0.935842,0.123242
213.616,1.05667,0.263293
213.727,0.935042,0.122533
213.711,1.16051,0.053816
213.749,1.15808,0.180499
213.554,1.03951,0.1234
213.779,0.943061,0.123258
213.677,0.871292,0.26475
213.667,0.88577,0.26383
213.589,0.881575,0.106442
213.573,0.671504,0.113717
213.752,0.645618,0.077072
213.572,0.640002,0.114179
213.813,0.697189,0.125316
213.824,1.19658,0.384228
213.691,0.724062,0.26487
213.593,0.722778,0.114319
213.818,0.477445,0.143941
213.838,0.352073,0.191255
213.784,0.332141,0.183478
213.736,0.206391,0.126907
213.711,0.31893,0.03855
213.85,0.247795,0.077115
213.719,0.1962,0.123786
213.796,-0.021122,0.13506
213.698,-0.003127,0.047335
213.765,-0.082624,0.384097
213.843,0.178314,0.257106
213.749,-0.061705,0.167572
213.699,-0.067059,0.136319
213.769,-0.004411,0.184982
214.1,0.293507,0.084417
213.987,0.258783,0.128189
213.963,0.263037,0.126105
214.073,0.302961,0.127583
213.946,0.257645,0.126171
213.927,0.183335,0.116344
213.983,0.29413,0.129933
213.967,0.070007,0.135502
213.923,-0.062493,0.119776
213.9,0.037448,0.053343
213.865,-0.055491,0.12388
213.897,-0.072514,0.352607
214.135,0.071339,0.052545
213.947,-0.033821,0.180589
213.959,0.242288,0.125794
213.884,0.313076,0.124581
213.875,-0.108656,0.142269
213.885,-0.04943,0.183637
214.305,0.535145,0.077097
214.328,0.094574,0.052586
214.313,0.220765,0.077265
214.183,0.51131,0.435225
214.257,0.47709,0.0523
214.258,0.056906,0.353693
214.269,0.508016,0.025557
214.205,0.272546,0.144014
214.235,0.478717,0.191011
214.194,0.398803,0.124674
214.33,0.05102,0.052859
214.292,-0.078722,0.16824
214.306,-0.026926,0.051523
214.186,-0.022172999999999998,0.12465
214.251,0.142431,0.133922
214.23,0.048148,0.123308
213.87,1.0965,0.164522
214.169,0.942024,0.084142
213.998,1.15531,0.1747
213.913,0.993629,0.187525
213.955,0.929804,0.184994
213.924,0.94628,0.120071
214.196,1.22027,0.426293
214.174,0.917396,0.084086
214.012,1.00608,0.394232
213.858,1.01192,0.448409
213.829,0.890931,0.122872
214.029,0.891012,0.356999
213.833,0.941433,0.069413
214.148,0.886645,0.02554
213.827,0.987923,0.183857
214.115,0.706045,0.053194
214.436,0.570706,0.429909
214.482,0.492856,0.053503
214.367,0.482812,0.049923
214.343,0.47272,0.050259
214.452,0.51098,0.053261
214.436,0.479529,0.360938
214.476,0.46145,0.05444
214.335,0.403468,0.047953
214.498,0.267427,0.053035
214.509,0.484262,0.052777
214.342,0.02372,0.053443
214.406,0.329118,0.051027
214.394,0.208777,0.096977
214.468,0.363021,0.049694
214.46,0.327949,0.050091
214.425,0.189863,0.053586
214.402,0.062078,0.053135
214.333,1.17352,0.054225
214.324,1.15621,0.053496
214.388,1.13099,0.254553
214.305,0.793747,0.050491
214.472,1.00331,0.357773
214.333,1.10732,0.126428
214.324,1.22154,0.054163
214.366,0.63456,0.050401
214.381,0.771651,0.077455
214.332,0.8518,0.173797
214.281,0.636547,0.168019
214.242,1.20819,0.128952
214.217,0.765073,0.173947
214.418,0.920185,0.053491
214.386,0.882813,0.055642
214.461,1.05596,0.178384
214.648,0.157708,0.053219
214.659,0.45253,0.122342
214.537,0.486801,0.053984
214.514,0.51156,0.1251
214.704,0.474998,0.052616
214.62,0.439185,0.049773
214.694,0.560695,0.05292
214.609,0.169392,0.053285
214.517,0.273832,0.050287
214.637,0.312124,0.10004
214.627,0.111088,0.100312
214.526,0.053009,0.136449
214.523,0.2274,0.053406
214.551,0.358908,0.053388
214.558,0.258063,0.052497
214.531,0.311118,0.072833
214.633,-0.033398,0.150696
214.517,0.906983,0.0783
214.543,0.748647,0.113215
214.548,0.866399,0.120209
214.523,0.888478,0.119853
214.59,0.949619,0.026104
214.587,0.984256,0.128863
214.562,0.891112,0.025839
214.618,0.78541,0.342989
214.588,0.644565,0.18757
214.553,0.622292,0.118281
214.483,0.676651,0.052863
214.57,0.986272,0.05315
214.574,0.592304,0.121891
214.617,0.750095,0.025499
214.716,0.603813,0.053276
214.479,0.718105,0.066211
214.732,0.738888,0.256281
214.779,0.602648,0.100792
